"","Cell_ID","Pearson_Correlation","mean_intensity_KRAS","mean_intensity_BRAF","sum_intensity_KRAS","sum_intensity_BRAF","Area_Pixels","Area","KRAS_type","BRAF_type","image_no"
"103",3,0.826934737521932,1111.1955606043,1244.38425565082,134012407,150075230,120602,150.1958132282,"KRASG12D","BRAF_AAAA",19
"104",4,0.718374511451593,358.822905642806,714.773356474622,16952947,33770182,47246,58.8394171886,"KRASG12D","BRAF_AAAA",19
"105",5,0.93481587064888,385.057612295844,286.227088058216,47199592,35085144,122578,152.6566922098,"KRASG12D","BRAF_AAAA",19
"106",6,0.901587792765687,1729.6843675607,1654.1760990319,54493706,52114818,31505,39.2358260705,"KRASG12D","BRAF_AAAA",19
"107",7,0.782598895153688,1203.79655443336,1009.35876851723,189990395,159303057,157826,196.5539909666,"KRASG12D","BRAF_AAAA",19
"108",8,0.914771765717904,3526.52228678538,1526.25259606373,188139964,81425576,53350,66.441241735,"KRASG12D","BRAF_AAAA",19
"109",9,0.887410018348723,1385.69399390779,1357.22493341626,173774341,170204150,125406,156.1786384446,"KRASG12D","BRAF_AAAA",19
"110",10,0.907652617233301,2848.48058611244,2979.24988042958,65512205,68519768,22999,28.6425889159,"KRASG12D","BRAF_AAAA",19
"111",11,0.941194688656658,2881.33731963442,1856.5349645161,330083122,212682789,114559,142.6699571119,"KRASG12D","BRAF_AAAA",19
"112",12,0.707832913158104,46.3506173316339,33.3524841321952,7200383,5181175,155346,193.4654383986,"KRASG12D","BRAF_AAAA",19
"113",13,0.892208254588851,239.007671032719,134.966693628346,18320416,10345467,76652,95.4611820332,"KRASG12D","BRAF_AAAA",19
"114",14,-0.0220506592980064,86.0066494610597,131.620282374374,11330516,17339656,131740,164.066901334,"KRASG12D","BRAF_AAAA",19
"115",15,0.86277601051534,247.260451130206,224.139552043415,31164460,28250325,126039,156.9669665799,"KRASG12D","BRAF_AAAA",19
"116",16,0.874045161632045,123.209207585485,131.936812387397,19900628,21310302,161519,201.1531944479,"KRASG12D","BRAF_AAAA",19
"117",17,0.923760206095715,85.8347484988965,43.1696560232081,8905956,4479154,103757,129.2173180637,"KRASG12D","BRAF_AAAA",19
"118",18,0.914113571570494,3918.05591086777,1993.11757181624,327749295,166726278,83651,104.1776253491,"KRASG12D","BRAF_AAAA",19
"119",19,0.936871023466941,270.022506243117,175.904298056491,17408621,11340726,64471,80.2911583111,"KRASG12D","BRAF_AAAA",19
"120",20,0.753183760622482,1539.48363950982,1464.75218724128,206403190,196383720,134073,166.9723824393,"KRASG12D","BRAF_AAAA",19
"121",21,0.872590525749315,1992.56754939906,1264.97718476268,97815141,62097730,49090,61.135905469,"KRASG12D","BRAF_AAAA",19
"122",22,-1.64535634717359e-05,13.8430627206082,4.17825142546837,611808,184662,44196,55.0409956836,"KRASG12D","BRAF_AAAA",19
"123",23,0.874993075446555,138.049909873345,69.0572871280037,11564579,5784998,83771,104.3270714411,"KRASG12D","BRAF_AAAA",19
"124",24,0.904847220028198,341.969778348983,241.525296605699,35654795,25182152,104263,129.8474824183,"KRASG12D","BRAF_AAAA",19
"125",25,0.877190663140766,227.222207048747,104.879711364083,41597115,19200119,183068,227.9899764188,"KRASG12D","BRAF_AAAA",19
"126",26,0.891164171934861,466.071248909194,217.333273445922,36318136,16935478,77924,97.0453106084,"KRASG12D","BRAF_AAAA",19
"127",27,0.784767273786598,855.528888817439,944.976319850813,106434638,117562614,124408,154.9357451128,"KRASG12D","BRAF_AAAA",19
"128",28,0.833703490529372,2491.93572963864,2922.01918322452,246943355,289563335,99097,123.4138281577,"KRASG12D","BRAF_AAAA",19
"129",29,0.921453693209626,596.159092363823,419.401555399091,18627587,13104621,31246,38.9132715886,"KRASG12D","BRAF_AAAA",19
"130",30,0.925533017007166,1460.50472802024,1069.38178368121,92362319,67627704,63240,78.758090484,"KRASG12D","BRAF_AAAA",19
"131",31,0.897751194888891,292.709418202765,185.105453149002,30488613,19280584,104160,129.719207856,"KRASG12D","BRAF_AAAA",19
"132",32,-0.0903428409727779,10.3177584505305,4.06374907475944,334543,131763,32424,40.3803340584,"KRASG12D","BRAF_AAAA",19
"133",33,0.906161847940346,193.562426614481,162.229476516634,7912832,6631941,40880,50.911302008,"KRASG12D","BRAF_AAAA",19
"134",1,0.929808559166647,724.265996071662,489.401925480626,48673572,32889767,67204,83.6947930564,"KRASG12D","BRAF_AAAA",20
"135",2,0.87880843903462,823.141906538287,597.240560568634,16328666,11847461,19837,24.7046843917,"KRASG12D","BRAF_AAAA",20
"136",3,0.408393377691053,67.0727553636012,217.094701358896,1910165,6182640,28479,35.4672937839,"KRASG12D","BRAF_AAAA",20
"137",4,0.900122460837478,150.990866715222,119.040728332119,10365523,8172146,68650,85.495618465,"KRASG12D","BRAF_AAAA",20
"138",5,0.902078433804611,4010.04175540006,4306.7042896258,52724029,56624548,13148,16.3743101468,"KRASG12D","BRAF_AAAA",20
"139",6,0.716020168865824,25.4707970193076,31.6340289521119,1370660,1702322,53813,67.0178545733,"KRASG12D","BRAF_AAAA",20
"140",7,0.567728779979212,44.9170578361924,58.6367386418594,3157759,4122280,70302,87.5529929982,"KRASG12D","BRAF_AAAA",20
"141",8,0.180946206534236,43.3533333333333,171.600281690141,461713,1827543,10650,13.263340665,"KRASG12D","BRAF_AAAA",20
"142",9,0.489701941394458,15.5624421831637,19.4977558502073,908442,1138162,58374,72.6980514534,"KRASG12D","BRAF_AAAA",20
"143",10,0.817217772238401,1748.05698690561,1831.29553277289,378863383,396904006,216734,269.9170775294,"KRASG12D","BRAF_AAAA",20
"144",11,0.761342629417611,679.090716947921,878.843082215985,101852063,131811522,149983,186.7864434703,"KRASG12D","BRAF_AAAA",20
"145",12,0.934382894444293,429.722167030929,278.903967150142,6488375,4211171,15099,18.8040545259,"KRASG12D","BRAF_AAAA",20
"146",13,0.907713680936298,197.861335131314,257.650932156791,30226089,39359787,152764,190.2498566524,"KRASG12D","BRAF_AAAA",20
"147",14,0.822562703091683,742.935861041749,1176.7166031454,169589969,268609099,228270,284.283828507,"KRASG12D","BRAF_AAAA",20
"148",15,0.722027132558594,776.280409712703,1608.46410939732,161958487,335580301,208634,259.8294663194,"KRASG12D","BRAF_AAAA",20
"149",16,0.70945750357456,722.368441835365,1059.57298549504,27440610,40249999,37987,47.3084058067,"KRASG12D","BRAF_AAAA",20
"150",17,0.900948922748304,180.652262298891,204.698333042923,31102900,35242912,172170,214.417780497,"KRASG12D","BRAF_AAAA",20
"151",18,0.884490062686046,1530.96626200686,1999.68401461753,270635030,353492142,176774,220.1515288934,"KRASG12D","BRAF_AAAA",20
"152",19,0.0736645871034511,10.236916464361,2.94476061607036,257223,73993,25127,31.2927662807,"KRASG12D","BRAF_AAAA",20
"153",20,0.786116106559212,57.8305442140325,34.1986676694961,4305831,2546296,74456,92.7263185496,"KRASG12D","BRAF_AAAA",20
"154",21,0.860423273300571,1057.11745326615,1013.99263587848,70913553,68020654,67082,83.5428561962,"KRASG12D","BRAF_AAAA",20
"155",22,0.250420190965583,18.6871011850501,37.0575743763984,901989,1788695,48268,60.1121997388,"KRASG12D","BRAF_AAAA",20
"156",23,0.78833215611167,369.303563159707,789.325291191242,31103854,66479344,84223,104.8899850543,"KRASG12D","BRAF_AAAA",20
"157",24,0.13421300565543,30.2556642539395,62.0472460981678,3210247,6583461,106104,132.1402345464,"KRASG12D","BRAF_AAAA",20
"158",25,0.58125659083254,28.1299177465663,8.68935749204625,1450041,447919,51548,64.1970595868,"KRASG12D","BRAF_AAAA",20
