Cell_ID,Pearson_Correlation,mean_intensity_KRAS,mean_intensity_BRAF,sum_intensity_KRAS,sum_intensity_BRAF,Area_Pixels,Area,KRAS_type,BRAF_type,image_no,BRAF_75th,KRAS_75th
13,-0.3934626197451818,1419.8311390418446,1595.9329975385483,211695403,237952014,149099,185.68552392590004,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
15,-0.380067561062548,1586.7015760755016,1596.740550572586,271014976,272729673,170804,212.71658581640003,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
17,-0.3424610415894182,909.6861573829804,1513.7832278083465,144825675,241000345,159204,198.27013025640005,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
19,-0.46066747868229807,1278.6615935902082,1657.365342030036,190548708,246983898,149022,185.58962935020003,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
23,-0.27201148337954645,2925.302176660383,2906.556499269269,414336875,411681756,141639,176.39495853990005,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
25,-0.4622271107750276,1580.390859403586,2372.187237010611,138214663,207462007,87456,108.91631184960002,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
28,-0.47204778830583327,1719.682408236347,1526.2898388540734,315025181,279597983,183188,228.13942251080005,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
12,-0.4905765505614066,1134.9282293943315,1972.8530071225975,160457288,278923931,141381,176.07364944210002,KRASG12D,BRAF_R188L,36,791.7674300936054,909.6861573829804
15,-0.2378789142010299,1187.6520610943464,1470.7554893976867,205049316,253927406,172651,215.01681024910005,KRASG12D,BRAF_R188L,36,791.7674300936054,909.6861573829804
19,-0.4702456321979261,1336.0666301717183,1685.4203123199263,231861003,292487841,173540,216.12395671400003,KRASG12D,BRAF_R188L,36,791.7674300936054,909.6861573829804
21,-0.4377318862519125,2320.314119481766,2672.8864477652864,270789939,311936540,116704,145.34130600640003,KRASG12D,BRAF_R188L,36,791.7674300936054,909.6861573829804
31,-0.07613019059152949,1339.801459878178,1392.567167637712,80945445,84133338,60416,75.24112578560002,KRASG12D,BRAF_R188L,36,791.7674300936054,909.6861573829804
32,-0.24098736730517775,983.9197449840616,1565.458852897056,83955904,133577473,85328,106.26613448480002,KRASG12D,BRAF_R188L,36,791.7674300936054,909.6861573829804
1,-0.5632676530070274,1719.790674871037,1949.5962142420667,121019950,137191136,70369,87.63643373290002,KRASG12D,BRAF_R188L,37,791.7674300936054,909.6861573829804
14,-0.1752126554194409,1137.022548724853,1420.0280192415785,173966724,217267127,153002,190.54625806820005,KRASG12D,BRAF_R188L,37,791.7674300936054,909.6861573829804
17,-0.4450328393723834,1541.3684433164128,2591.282177100959,218627700,367547464,141840,176.64528074400005,KRASG12D,BRAF_R188L,37,791.7674300936054,909.6861573829804
27,-0.21977183443025053,1991.143268786415,3444.897126650296,219740580,380175402,110359,137.43934389190002,KRASG12D,BRAF_R188L,37,791.7674300936054,909.6861573829804
30,0.01023173475858558,1144.0496403365908,984.6781860749186,134869724,116081742,117888,146.81584078080002,KRASG12D,BRAF_R188L,37,791.7674300936054,909.6861573829804
41,-0.01286653698694689,918.7968966800906,844.9083302311415,108598118,99864785,118196,147.19941908360002,KRASG12D,BRAF_R188L,37,791.7674300936054,909.6861573829804
14,-0.3480634292174657,1076.231907371559,1116.6003489925567,118418873,122860653,110031,137.03085790710003,KRASG12D,BRAF_R188L,38,791.7674300936054,909.6861573829804
15,-0.2802977702724796,1286.1820530162129,1094.047502301377,136924369,116470109,106458,132.58110051780002,KRASG12D,BRAF_R188L,38,791.7674300936054,909.6861573829804
23,-0.15707109770938846,1012.4998709899372,1000.049837579639,153040368,151158533,151151,188.24105209910005,KRASG12D,BRAF_R188L,39,791.7674300936054,909.6861573829804
29,-0.3688592535422325,2122.618646767632,2493.858954565505,173231153,203528817,81612,101.63828716920004,KRASG12D,BRAF_R188L,39,791.7674300936054,909.6861573829804
38,0.2617312979033121,1832.8995318233583,1095.5958654941162,115883240,69267953,63224,78.73816433840001,KRASG12D,BRAF_R188L,39,791.7674300936054,909.6861573829804
44,-0.3046755630056677,1647.1117102869305,1628.169613660416,277034307,273848360,168194,209.46613331540004,KRASG12D,BRAF_R188L,39,791.7674300936054,909.6861573829804
18,-0.4992454263837772,1601.5329574566376,2476.2532233001552,152536405,235848262,95244,118.61536322040004,KRASG12D,BRAF_R188L,40,791.7674300936054,909.6861573829804
3,-0.36001687182464565,1275.9870550778792,1239.7701942691554,66929349,65029666,52453,65.32413219730002,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
11,-0.40339325503433143,1133.467669910853,2517.6018647256074,138589092,307827180,122270,152.27311390700004,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
13,-0.02643961859296695,1163.2848099339562,1175.656115896156,76444098,77257066,65714,81.83917074740002,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
22,-0.5522526327035227,1016.7407637379696,2292.599076373797,78598128,177227079,77304,96.2731724664,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
27,-0.1881441395205281,1030.9643677469785,1240.9994949191268,85729842,103195313,83155,103.55991483550002,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
29,-0.2345371083894412,1071.3154085897104,1266.630132458149,90746843,107291172,84706,105.49150557460004,KRASG12D,BRAF_R188L,41,791.7674300936054,909.6861573829804
